contour.ID,xrT,yrT,xlT,ylT
20,6259.23,4620.7845,5670.126,4651.467
20,6253.0935,4620.7845,5682.398999999999,4651.467
20,6253.0935,4633.0575,5694.672,4657.6035
20,6240.8205,4633.0575,5694.672,4657.6035
20,6228.5475,4645.3305,5700.8085,4669.8765
20,6228.5475,4645.3305,5700.8085,4669.8765
20,6216.2744999999995,4645.3305,5713.0815,4669.8765
20,6216.2744999999995,4651.467,5713.0815,4676.013
20,6204.001499999999,4651.467,5725.3544999999995,4676.013
20,6204.001499999999,4651.467,5725.3544999999995,4676.013
20,6204.001499999999,4663.74,5737.6275,4688.286
20,6191.7285,4663.74,5737.6275,4688.286
20,6191.7285,4663.74,5737.6275,4688.286
20,6185.592,4676.013,5743.764,4694.4225
20,6185.592,4676.013,5743.764,4694.4225
20,6185.592,4676.013,5743.764,4694.4225
20,6173.3189999999995,4682.1494999999995,5756.037,4706.6955
20,6173.3189999999995,4682.1494999999995,5756.037,4706.6955
20,6161.046,4682.1494999999995,5768.3099999999995,4706.6955
20,6161.046,4694.4225,5768.3099999999995,4712.832
20,6161.046,4694.4225,5780.583,4712.832
20,6148.773,4706.6955,5780.583,4725.105
20,6148.773,4706.6955,5792.856,4725.105
20,6136.5,4706.6955,5792.856,4725.105
20,6130.3634999999995,4718.9685,5798.9925,4731.2415
20,6130.3634999999995,4718.9685,5798.9925,4731.2415
20,6118.0905,4725.105,5811.2654999999995,4743.5145
20,6105.8175,4737.378,5823.5385,4749.651
20,6105.8175,4737.378,5835.8115,4749.651
20,6093.5445,4749.651,5835.8115,4761.924
20,6087.407999999999,4755.787499999999,5841.947999999999,4768.0605
20,6075.135,4768.0605,5854.221,4780.3335
20,6062.862,4768.0605,5866.494,4780.3335
20,6062.862,4749.651,5866.494,4761.924
20,6062.862,4718.9685,5866.494,4731.2415
20,6075.135,4688.286,5854.221,4700.559
20,6075.135,4657.6035,5854.221,4669.8765
20,6075.135,4626.921,5854.221,4639.1939999999995
20,6075.135,4602.375,5854.221,4614.648
20,6075.135,4571.6925,5854.221,4583.9655
20,6075.135,4541.01,5854.221,4553.282999999999
20,6075.135,4534.8735,5854.221,4547.1465
20,6075.135,4522.6005,5854.221,4534.8735
20,6075.135,4522.6005,5854.221,4534.8735
20,6075.135,4510.3275,5854.221,4522.6005
20,6075.135,4504.191,5866.494,4510.3275
20,6062.862,4491.918,5866.494,4504.191
20,6062.862,4479.6449999999995,5866.494,4491.918
20,6062.862,4461.2355,5866.494,4473.5085
20,6062.862,4448.9625,5866.494,4461.2355
20,6050.589,4442.826,5872.6305,4448.9625
20,6050.589,4430.553,5872.6305,4442.826
20,6050.589,4418.28,5872.6305,4430.553
20,6050.589,4399.8705,5884.903499999999,4412.1435
20,6038.316,4393.7339999999995,5884.903499999999,4399.8705
20,6044.452499999999,4369.188,5884.903499999999,4381.461
20,6044.452499999999,4363.0515,5884.903499999999,4369.188
20,6032.1795,4338.5055,5897.1765,4344.642
20,6032.1795,4332.369,5897.1765,4338.5055
20,6032.1795,4307.823,5897.1765,4313.9595
20,6019.9065,4301.6865,5909.4495,4307.823
20,6019.9065,4277.1404999999995,5909.4495,4283.277
20,6019.9065,4258.731,5909.4495,4264.8675
20,6019.9065,4240.3215,5921.7225,4246.458
20,6007.6335,4228.0485,5921.7225,4234.1849999999995
20,6013.7699999999995,4209.639,5921.7225,4215.7755
20,6013.7699999999995,4185.093,5921.7225,4191.2294999999995
20,6013.7699999999995,4166.6835,5921.7225,4172.82
20,6013.7699999999995,4148.274,5933.9955,4148.274
20,6001.497,4136.001,5933.9955,4142.1375
20,6001.497,4117.5914999999995,5933.9955,4117.5914999999995
20,6001.497,4093.0454999999997,5933.9955,4099.182
20,6001.497,4074.636,5933.9955,4080.7725
20,6001.497,3994.8615,5933.9955,3994.8615
20,6001.497,3994.8615,5933.9955,3994.8615
20,6197.865,3823.0395,5762.1735,3847.5854999999997
20,6197.865,3841.449,5762.1735,3865.995
20,6197.865,3859.8585,5749.9005,3884.4045
20,6197.865,3884.4045,5749.9005,3908.9505
20,6197.865,3902.814,5749.9005,3927.3599999999997
20,6197.865,3921.2235,5749.9005,3945.7695
20,6197.865,3945.7695,5749.9005,3970.3154999999997
20,6197.865,3964.179,5749.9005,3988.725
20,6204.001499999999,3982.5885,5737.6275,4013.2709999999997
20,6204.001499999999,4007.1345,5737.6275,4031.6805
20,6204.001499999999,4025.544,5737.6275,4050.0899999999997
20,6216.2744999999995,4043.9535,5725.3544999999995,4074.636
20,6216.2744999999995,4068.4995,5725.3544999999995,4093.0454999999997
20,6228.5475,4086.909,5713.0815,4117.5914999999995
20,6234.684,4105.3185,5700.8085,4136.001
20,6246.956999999999,4129.8645,5694.672,4160.547
20,6246.956999999999,4136.001,5694.672,4166.6835
20,6259.23,4160.547,5682.398999999999,4191.2294999999995
20,6271.503,4166.6835,5670.126,4203.5025
20,6277.6395,4178.9565,5657.853,4209.639
20,6289.912499999999,4197.366,5645.58,4234.1849999999995
20,6302.1855,4209.639,5645.58,4246.458
20,6302.1855,4221.912,5639.443499999999,4252.5945
20,6314.4585,4240.3215,5627.1705,4277.1404999999995
20,6332.8679999999995,4252.5945,5614.8975,4289.4135
20,6345.141,4258.731,5602.6245,4301.6865
20,6357.414,4271.004,5584.215,4313.9595
20,6369.687,4289.4135,5571.942,4332.369
20,6375.8234999999995,4301.6865,5559.669,4344.642
20,6388.0965,4313.9595,5547.396,4356.915
20,6400.3695,4320.096,5541.2595,4369.188
20,6424.9155,4332.369,5516.7135,4381.461
20,6431.052,4344.642,5504.4405,4393.7339999999995
20,6443.325,4363.0515,5498.304,4412.1435
20,6467.871,4375.3245,5486.031,4424.4165
20,6480.144,4381.461,5461.485,4436.6894999999995
20,6486.2805,4393.7339999999995,5455.3485,4448.9625
20,6510.8265,4406.007,5430.8025,4461.2355
20,6523.0995,4418.28,5424.666,4473.5085
20,6535.3724999999995,4418.28,5412.393,4473.5085
20,6553.782,4424.4165,5387.847,4485.7815
20,6566.054999999999,4436.6894999999995,5381.7105,4498.0545
20,6590.601,4448.9625,5357.1645,4510.3275
20,6602.874,4461.2355,5351.028,4522.6005
20,6621.2835,4461.2355,5326.482,4528.737
